 Si Density=2.33
 Energy(eV), Delta, Beta
  1956.36316  0.000104207124  3.43257707E-05
  1976.54761  0.000103952989  3.31506781E-05
  1996.94019  0.000103440281  3.20138461E-05
  2017.54346  0.000102771635  3.09147144E-05
  2038.35913  0.000101887454  2.98505747E-05
  2059.3894  0.000100909805  2.88225947E-05
  2080.63696  9.98578762E-05  2.78296047E-05
  2102.10376  9.86894956E-05  2.68566346E-05
  2123.79175  9.74843424E-05  2.59163262E-05
  2145.70361  9.62315316E-05  2.50074827E-05
  2167.84155  9.49232999E-05  2.41279231E-05
  2190.20801  9.35991338E-05  2.32777675E-05
  2212.80518  9.22457912E-05  2.24550422E-05
  2235.63525  9.08713628E-05  2.16602293E-05
  2258.70117  8.94937402E-05  2.08926613E-05
  2282.00488  8.80988227E-05  2.01500243E-05
  2305.54907  8.6702501E-05  1.94322856E-05
  2329.33643  8.53115343E-05  1.8739076E-05
  2353.3689  8.39106651E-05  1.80692186E-05
  2377.64941  8.25187381E-05  1.74220422E-05
  2402.18066  8.11348364E-05  1.67967009E-05
  2426.9646  7.97516768E-05  1.61927619E-05
  2452.00439  7.83820287E-05  1.5609774E-05
  2477.30249  7.70219922E-05  1.50466067E-05
  2502.86182  7.56707668E-05  1.45026252E-05
  2528.68457  7.43353739E-05  1.39778322E-05
  2554.77393  7.30109605E-05  1.34714219E-05
  2581.13257  7.17004878E-05  1.29821383E-05
  2607.76294  7.04072154E-05  1.25099559E-05
  2634.66821  6.91251043E-05  1.205425E-05
  2661.85083  6.78602592E-05  1.16147403E-05
  2689.31421  6.66132764E-05  1.11909112E-05
  2717.06055  6.53794268E-05  1.07809974E-05
  2745.09351  6.41642328E-05  1.03858538E-05
  2773.41577  6.29661517E-05  1.00049383E-05
  2802.03003  6.17834012E-05  9.63740604E-06
  2830.93945  6.06194699E-05  9.28301688E-06
  2860.14722  5.94722733E-05  8.94103141E-06
  2889.65625  5.83419496E-05  8.61126682E-06
  2919.46997  5.72302197E-05  8.29339842E-06
  2949.59106  5.61344459E-05  7.98656038E-06
  2980.02295  5.50566401E-05  7.69087274E-06
  3010.7688  5.39973298E-05  7.40598261E-06
  3041.83203  5.29537101E-05  7.13111513E-06
  3073.21558  5.19281457E-05  6.86619069E-06
  3104.9231  5.09200654E-05  6.61082231E-06
  3136.95752  4.99278794E-05  6.36472623E-06
  3169.323  4.89533304E-05  6.12756048E-06
  3202.02197  4.79953706E-05  5.89887168E-06
  3235.05811  4.70538507E-05  5.6784861E-06
  3268.4353  4.61295022E-05  5.46621231E-06
  3302.15698  4.52210588E-05  5.26167287E-06
  3336.22656  4.43285644E-05  5.06446486E-06
  3370.64746  4.34524554E-05  4.8744696E-06
  3405.42358  4.25915568E-05  4.6914779E-06
  3440.55835  4.17465417E-05  4.51520327E-06
  3476.05591  4.09172317E-05  4.34541789E-06
  3511.91968  4.01024954E-05  4.18175614E-06
  3548.15332  3.93032096E-05  4.02420301E-06
  3584.76074  3.85188177E-05  3.87251112E-06
  3621.74609  3.77486685E-05  3.72626437E-06
  3659.11279  3.69932422E-05  3.5854539E-06
  3696.86499  3.62518731E-05  3.44987393E-06
  3735.00684  3.55243537E-05  3.31932733E-06
  3773.54224  3.48108442E-05  3.19364676E-06
  3812.47534  3.41106206E-05  3.07251503E-06
  3851.80981  3.3423883E-05  2.95593713E-06
  3891.55005  3.27505259E-05  2.84375164E-06
  3931.70068  3.20896033E-05  2.73565115E-06
  3972.26538  3.14416393E-05  2.63160905E-06
  4013.24902  3.080631E-05  2.53145845E-06
  4054.65503  3.0183106E-05  2.43505292E-06
  4096.48828  2.9572162E-05  2.34225604E-06
  4138.75293  2.89730688E-05  2.25288863E-06
  4181.45361  2.83855352E-05  2.16689614E-06
  4224.59521  2.78096377E-05  2.08415668E-06
  4268.18213  2.72450325E-05  2.00450586E-06
  4312.21826  2.66915213E-05  1.92783295E-06
  4356.70898  2.61489949E-05  1.85405258E-06
  4401.65869  2.56169751E-05  1.78304776E-06
  4447.07178  2.50956109E-05  1.71471652E-06
  4492.9541  2.45846895E-05  1.6489588E-06
  4539.30957  2.40836634E-05  1.585669E-06
  4586.14307  2.35927073E-05  1.5247864E-06
  4633.45947  2.311157E-05  1.46621142E-06
  4681.26465  2.26399916E-05  1.40981899E-06
  4729.56299  2.21779046E-05  1.35557457E-06
  4778.35986  2.17250345E-05  1.30339788E-06
  4827.65967  2.12811537E-05  1.25320378E-06
  4877.46826  2.08462152E-05  1.20492541E-06
  4927.79053  2.0420086E-05  1.15846376E-06
  4978.63232  2.00025152E-05  1.11378074E-06
  5029.99902  1.95933662E-05  1.07081007E-06
  5036.96143  1.95388384E-05  1.06513789E-06
  5043.93262  1.94844706E-05  1.05949596E-06
  5050.91406  1.94302484E-05  1.05388199E-06
  5057.90479  1.93761807E-05  1.04829962E-06
  5064.90527  1.93222622E-05  1.04274704E-06
  5071.91553  1.92684929E-05  1.03722186E-06
  5078.93506  1.92148764E-05  1.03172795E-06
  5085.96436  1.91614108E-05  1.02626302E-06
  5093.00342  1.91080908E-05  1.0208272E-06
  5100.05273  1.90549181E-05  1.01541832E-06
  5107.11133  1.90018945E-05  1.0100398E-06
  5114.17969  1.89490147E-05  1.0046889E-06
  5121.25781  1.88962749E-05  9.99363237E-07
  5128.3457  1.88436825E-05  9.94067477E-07
  5135.44385  1.87912337E-05  9.88799798E-07
  5142.55176  1.87389305E-05  9.83559971E-07
  5149.66895  1.86867783E-05  9.78346407E-07
  5156.79688  1.86347643E-05  9.73162059E-07
  5163.93359  1.85829012E-05  9.68005338E-07
  5171.08105  1.85311783E-05  9.62874083E-07
  5178.23828  1.8479599E-05  9.57771704E-07
