 Li Density=0.534
 Energy(eV), Delta, Beta
  700.920166  0.000201500196  5.00383203E-06
  708.151794  0.000197317  4.80476047E-06
  715.458069  0.000193222062  4.61134005E-06
  722.839661  0.000189211787  4.42254805E-06
  730.297485  0.00018528389  4.24149903E-06
  737.832214  0.000181437324  4.06786876E-06
  745.444702  0.000177671856  3.90135028E-06
  753.135681  0.000173985347  3.74165415E-06
  760.906067  0.00017037589  3.58849434E-06
  768.756592  0.000166842292  3.44149748E-06
  776.68811  0.00016338272  3.30040643E-06
  784.701477  0.000159995805  3.16494902E-06
  792.797546  0.000156679889  3.03487013E-06
  800.977051  0.00015343311  2.91012157E-06
  809.241028  0.000150254244  2.79052142E-06
  817.59021  0.000147142113  2.67582777E-06
  826.025635  0.00014409484  2.56584372E-06
  834.547974  0.000141111464  2.46037825E-06
  843.158325  0.000138190473  2.35931134E-06
  851.857422  0.000135330454  2.26244583E-06
  860.646423  0.000132530622  2.16967283E-06
  869.526001  0.000129789245  2.08075539E-06
  878.497192  0.000127105101  1.99553506E-06
  887.560913  0.00012447765  1.91382173E-06
  896.718201  0.000121904857  1.83545296E-06
  905.96991  0.000119385724  1.76029209E-06
  915.3172  0.000116919568  1.68820702E-06
  924.760803  0.000114504845  1.61897128E-06
  934.30188  0.000112140689  1.55223529E-06
  943.941345  0.000109825647  1.48819049E-06
  953.680359  0.00010755859  1.42674924E-06
  963.519836  0.000105338899  1.36777828E-06
  973.460754  0.000103165381  1.31123909E-06
  983.504333  0.000101036974  1.25703207E-06
  993.651489  9.89530745E-05  1.20511334E-06
  1003.90332  9.69123357E-05  1.15536238E-06
  1014.26093  9.49139067E-05  1.10769372E-06
  1024.72534  9.29573434E-05  1.06237303E-06
  1035.29785  9.10414819E-05  1.01892488E-06
  1045.97937  8.91657764E-05  9.77137461E-07
  1056.77112  8.73292374E-05  9.36934612E-07
  1067.67419  8.55307371E-05  8.98338669E-07
  1078.68982  8.3769417E-05  8.61332182E-07
  1089.81897  8.20447822E-05  8.2585251E-07
  1101.06299  8.03559305E-05  7.91836158E-07
  1112.4231  7.87023164E-05  7.59218665E-07
  1123.90039  7.70829429E-05  7.27946826E-07
  1135.49597  7.54971479E-05  6.97964992E-07
  1147.2113  7.39442621E-05  6.69219673E-07
  1159.04749  7.24235433E-05  6.41654879E-07
  1171.00574  7.09344895E-05  6.15219108E-07
  1183.0874  6.94762639E-05  5.8987888E-07
  1195.2937  6.80481753E-05  5.65584571E-07
  1207.62598  6.66497654E-05  5.42289172E-07
  1220.08545  6.52804447E-05  5.19950277E-07
  1232.67346  6.39394639E-05  4.98524685E-07
  1245.39136  6.26262699E-05  4.77927131E-07
  1258.2406  6.13402372E-05  4.58141045E-07
  1271.22229  6.00808053E-05  4.3914082E-07
  1284.33789  5.88474722E-05  4.20837523E-07
  1297.58887  5.76394959E-05  4.03295189E-07
  1310.97656  5.64563888E-05  3.86485993E-07
  1324.50232  5.52978599E-05  3.70379553E-07
  1338.1676  5.41632216E-05  3.54943921E-07
  1351.974  5.30520156E-05  3.40149313E-07
  1365.92273  5.19637688E-05  3.25972906E-07
  1380.0155  5.08979465E-05  3.12388067E-07
  1394.25366  4.98542504E-05  2.99369617E-07
  1408.63867  4.8832022E-05  2.86894448E-07
  1423.17188  4.78308102E-05  2.74939566E-07
  1437.85535  4.68503968E-05  2.63481041E-07
  1452.69019  4.58901704E-05  2.524975E-07
  1467.6781  4.49497311E-05  2.41968877E-07
  1482.82056  4.40288131E-05  2.31866608E-07
  1498.11938  4.31268127E-05  2.22169021E-07
  1513.57605  4.22433513E-05  2.12845606E-07
  1529.19202  4.13781272E-05  2.03909096E-07
  1544.96936  4.0530671E-05  1.95346857E-07
  1560.90918  3.97006515E-05  1.87144906E-07
  1577.01367  3.88877233E-05  1.79286829E-07
  1593.2843  3.80915117E-05  1.71758714E-07
  1609.72278  3.73117437E-05  1.64546535E-07
  1626.33081  3.65480228E-05  1.57637515E-07
  1643.11035  3.57999998E-05  1.51018739E-07
  1660.06274  3.50674345E-05  1.44678054E-07
  1677.19019  3.43498941E-05  1.38603937E-07
  1694.49438  3.3647073E-05  1.32785132E-07
  1711.97705  3.29588074E-05  1.27210711E-07
  1729.64014  3.22846754E-05  1.21860268E-07
  1747.48547  3.1624375E-05  1.16707461E-07
  1765.51489  3.0977626E-05  1.11764045E-07
  1783.73022  3.03441393E-05  1.07025414E-07
  1802.13367  2.97236493E-05  1.0248025E-07
  1820.72681  2.91159267E-05  9.81282327E-08
  1839.51184  2.85206788E-05  9.39614253E-08
  1858.49072  2.79376563E-05  8.99931436E-08
  1877.66541  2.73665773E-05  8.62136957E-08
  1897.03796  2.68072054E-05  8.26180511E-08
  1916.61035  2.62593639E-05  7.91725085E-08
  1936.38477  2.57227603E-05  7.58710073E-08
  1956.36316  2.51971978E-05  7.2707472E-08
  1976.54761  2.46824566E-05  6.96759699E-08
  1996.94019  2.41782564E-05  6.67710509E-08
  2017.54346  2.36843462E-05  6.39875068E-08
  2038.35913  2.32005914E-05  6.13199447E-08
  2059.3894  2.27267647E-05  5.87636713E-08
  2080.63696  2.2262695E-05  5.63143949E-08
  2102.10376  2.18081259E-05  5.39673231E-08
  2123.79175  2.13628646E-05  5.17181817E-08
  2145.70361  2.09267364E-05  4.95629457E-08
  2167.84155  2.04995267E-05  4.74978243E-08
  2190.20801  2.00810646E-05  4.55190623E-08
  2212.80518  1.96712117E-05  4.36228156E-08
  2235.63525  1.92697553E-05  4.18057517E-08
  2258.70117  1.88765171E-05  4.00646485E-08
  2282.00488  1.84913333E-05  3.83962195E-08
  2305.54907  1.8114024E-05  3.67974238E-08
  2329.33643  1.77444435E-05  3.52652663E-08
  2353.3689  1.73824283E-05  3.37972779E-08
  2377.64941  1.70278126E-05  3.23906377E-08
  2402.18066  1.66804984E-05  3.10354054E-08
  2426.9646  1.6340291E-05  2.9718878E-08
  2452.00439  1.60070394E-05  2.84359114E-08
  2477.30249  1.56806127E-05  2.72085305E-08
  2502.86182  1.53608344E-05  2.60343587E-08
  2528.68457  1.50475562E-05  2.49111629E-08
  2554.77393  1.47407145E-05  2.38364652E-08
  2581.13257  1.44401492E-05  2.28082797E-08
  2607.76294  1.41457394E-05  2.18247056E-08
  2634.66821  1.38573287E-05  2.08829238E-08
  2661.85083  1.35748041E-05  1.99813677E-08
  2689.31421  1.3298064E-05  1.91165554E-08
  2717.06055  1.30269818E-05  1.82894269E-08
  2745.09351  1.27614348E-05  1.74983033E-08
  2773.41577  1.25013257E-05  1.67414882E-08
  2802.03003  1.22465235E-05  1.6017621E-08
  2830.93945  1.19969145E-05  1.53252664E-08
  2860.14722  1.17524114E-05  1.46630157E-08
  2889.65625  1.15129023E-05  1.402924E-08
  2919.46997  1.12782918E-05  1.34221239E-08
  2949.59106  1.10484789E-05  1.28406858E-08
  2980.02295  1.08233571E-05  1.22842909E-08
  3010.7688  1.0602821E-05  1.17522765E-08
  3041.83203  1.03867915E-05  1.12434426E-08
  3073.21558  1.01751721E-05  1.07567724E-08
  3104.9231  9.96788549E-06  1.02913749E-08
  3136.95752  9.76482261E-06  9.84631132E-09
  3169.323  9.56589429E-06  9.4206607E-09
  3202.02197  9.37103687E-06  9.01310404E-09
  3235.05811  9.1801594E-06  8.62320437E-09
  3268.4353  8.99318093E-06  8.25016677E-09
  3302.15698  8.81001051E-06  7.89347077E-09
  3336.22656  8.63057539E-06  7.55238094E-09
  3370.64746  8.45480918E-06  7.22622095E-09
  3405.42358  8.28262273E-06  6.91430113E-09
  3440.55835  8.1139442E-06  6.61600863E-09
  3476.05591  7.9487163E-06  6.33075681E-09
  3511.91968  7.7868599E-06  6.05809136E-09
  3548.15332  7.62830814E-06  5.79748827E-09
  3584.76074  7.47298645E-06  5.54828317E-09
  3621.74609  7.32082526E-06  5.30996402E-09
  3659.11279  7.17176363E-06  5.08205389E-09
  3696.86499  7.02574971E-06  4.8640949E-09
  3735.00684  6.88271348E-06  4.65564831E-09
  3773.54224  6.74260036E-06  4.45629533E-09
  3812.47534  6.60533942E-06  4.26567315E-09
  3851.80981  6.47087518E-06  4.08345446E-09
  3891.55005  6.33916034E-06  3.90975741E-09
  3931.70068  6.21012532E-06  3.74361164E-09
  3972.26538  6.08371693E-06  3.58470187E-09
  4013.24902  5.95988104E-06  3.43270257E-09
  4054.65503  5.83857218E-06  3.28731709E-09
  4096.48828  5.71973987E-06  3.14824922E-09
  4138.75293  5.60333592E-06  3.01520897E-09
  4181.45361  5.48930302E-06  2.88795965E-09
  4224.59521  5.3775907E-06  2.76627166E-09
  4268.18213  5.26815074E-06  2.64997402E-09
  4312.21826  5.16094133E-06  2.5387632E-09
  4356.70898  5.05592106E-06  2.43239473E-09
  4401.65869  4.95303902E-06  2.33061304E-09
  4447.07178  4.8522511E-06  2.23323537E-09
  4492.9541  4.75352272E-06  2.14008145E-09
  4539.30957  4.65679841E-06  2.05096162E-09
  4586.14307  4.5620377E-06  1.96569938E-09
  4633.45947  4.46922377E-06  1.88419458E-09
  4681.26465  4.37829522E-06  1.80624937E-09
  4729.56299  4.28921066E-06  1.7317221E-09
  4778.35986  4.2019451E-06  1.66041447E-09
  4827.65967  4.11646033E-06  1.5921876E-09
  4877.46826  4.03272043E-06  1.52690582E-09
  4927.79053  3.950679E-06  1.46444001E-09
  4978.63232  3.87030468E-06  1.40467227E-09
  5029.99902  3.79157154E-06  1.34747447E-09
  5036.96143  3.78108484E-06  1.33995759E-09
  5043.93262  3.77062861E-06  1.33248645E-09
  5050.91406  3.76020034E-06  1.32505629E-09
  5057.90479  3.74980209E-06  1.31767564E-09
  5064.90527  3.73943271E-06  1.31034072E-09
  5071.91553  3.72909221E-06  1.30304656E-09
  5078.93506  3.71878082E-06  1.29579847E-09
  5085.96436  3.70849762E-06  1.28859268E-09
  5093.00342  3.69824284E-06  1.28143007E-09
  5100.05273  3.68801625E-06  1.27430677E-09
  5107.11133  3.67781831E-06  1.26722854E-09
  5114.17969  3.66764857E-06  1.26019251E-09
  5121.25781  3.6575068E-06  1.25319499E-09
  5128.3457  3.64739321E-06  1.24624167E-09
  5135.44385  3.63730715E-06  1.23932942E-09
  5142.55176  3.62724768E-06  1.23246069E-09
  5149.66895  3.61721709E-06  1.2256306E-09
  5156.79688  3.6072131E-06  1.2188428E-09
  5163.93359  3.59723799E-06  1.21209598E-09
  5171.08105  3.58728926E-06  1.20538612E-09
  5178.23828  3.57736826E-06  1.19871801E-09
  5185.40479  3.56747569E-06  1.19208998E-09
  5192.58154  3.55760994E-06  1.18550114E-09
  5199.76807  3.54777148E-06  1.17895083E-09
  5206.96484  3.53796008E-06  1.17243704E-09
  5214.17188  3.52817551E-06  1.16596421E-09
  5221.38818  3.51841891E-06  1.15952914E-09
  5228.61475  3.50869004E-06  1.15313015E-09
  5235.85156  3.49898755E-06  1.1467709E-09
  5243.09814  3.48931212E-06  1.14044929E-09
  5250.35498  3.47966329E-06  1.13416498E-09
  5257.62158  3.47004129E-06  1.12791576E-09
  5264.89844  3.4604459E-06  1.12170551E-09
  5272.18506  3.45087733E-06  1.115532E-09
  5279.48193  3.44133491E-06  1.10939491E-09
  5286.78955  3.43181796E-06  1.10329179E-09
  5294.10645  3.42232875E-06  1.0972272E-09
  5301.43359  3.41286545E-06  1.09119824E-09
  5308.771  3.40342808E-06  1.08520293E-09
  5316.11914  3.39401618E-06  1.07924558E-09
  5323.47656  3.38463133E-06  1.07332332E-09
  5330.84473  3.37527194E-06  1.06743359E-09
  5338.22266  3.36593848E-06  1.06158127E-09
  5345.61084  3.3566314E-06  1.05576337E-09
  5353.00977  3.34734909E-06  1.04997944E-09
  5360.41846  3.33809317E-06  1.0442277E-09
  5367.83691  3.32886339E-06  1.03851272E-09
  5375.2666  3.31965794E-06  1.0328306E-09
  5382.70654  3.31047795E-06  1.02718201E-09
  5390.15625  3.30132411E-06  1.02156539E-09
  5397.61621  3.29219642E-06  1.01598263E-09
  5405.08691  3.28309352E-06  1.01043318E-09
  5412.56787  3.27401608E-06  1.00491648E-09
  5420.05859  3.26496433E-06  9.99430982E-10
  5427.56055  3.25593646E-06  9.9397901E-10
  5435.07275  3.2469336E-06  9.88559457E-10
  5442.59521  3.23795598E-06  9.83169768E-10
  5450.12793  3.22900337E-06  9.77813941E-10
  5457.67139  3.22007531E-06  9.72489644E-10
  5465.22461  3.21117227E-06  9.67196989E-10
  5472.78906  3.2022931E-06  9.61933311E-10
  5480.36328  3.19343962E-06  9.56703383E-10
  5487.94873  3.18460934E-06  9.51503876E-10
  5495.54395  3.17580475E-06  9.46335454E-10
  5503.15039  3.16702335E-06  9.41195566E-10
  5510.7666  3.15826719E-06  9.36087985E-10
  5518.39404  3.14953445E-06  9.31010158E-10
  5526.03125  3.14082672E-06  9.25962584E-10
  5533.68018  3.13214196E-06  9.20942878E-10
  5541.33838  3.12348243E-06  9.1595459E-10
  5549.0083  3.11484564E-06  9.10995446E-10
  5556.68799  3.10623386E-06  9.06064279E-10
  5564.37891  3.09764505E-06  9.01163588E-10
  5572.08057  3.08908011E-06  8.96295538E-10
  5579.79248  3.08053905E-06  8.91456242E-10
  5587.51465  3.07202231E-06  8.86644091E-10
  5595.24805  3.06352831E-06  8.81861695E-10
  5602.99219  3.05505773E-06  8.77107276E-10
  5610.74707  3.04661057E-06  8.72379557E-10
  5618.5127  3.03818683E-06  8.67681427E-10
  5626.28906  3.02978628E-06  8.63010552E-10
  5634.07617  3.02140893E-06  8.58367155E-10
  5641.87354  3.01305568E-06  8.53750071E-10
  5649.68262  3.00472425E-06  8.49161019E-10
  5657.50146  2.99641692E-06  8.44600057E-10
  5665.33203  2.98813166E-06  8.40066072E-10
  5673.17334  2.97986935E-06  8.35557012E-10
  5681.0249  2.97163092E-06  8.31076541E-10
  5688.8877  2.96341454E-06  8.2662216E-10
  5696.76123  2.95522091E-06  8.22194146E-10
  5704.64648  2.94704932E-06  8.17790224E-10
  5712.5415  2.93890139E-06  8.13414114E-10
  5720.44824  2.93077505E-06  8.09063538E-10
  5728.36572  2.92267168E-06  8.04737055E-10
  5736.29395  2.91459082E-06  8.00437772E-10
  5744.23291  2.90653225E-06  7.96163691E-10
  5752.18311  2.89849618E-06  7.91915034E-10
  5760.14453  2.89048194E-06  7.87689691E-10
  5768.11719  2.88248953E-06  7.83490828E-10
  5776.10059  2.87451962E-06  7.79316611E-10
  5784.09473  2.866572E-06  7.7516582E-10
  5792.1001  2.85864644E-06  7.71040676E-10
  5800.11621  2.85074248E-06  7.66939734E-10
  5808.14404  2.84286011E-06  7.62862828E-10
  5816.18262  2.83500026E-06  7.58808794E-10
  5824.23291  2.8271611E-06  7.54779572E-10
  5832.29346  2.81934467E-06  7.50774276E-10
  5840.36572  2.81154962E-06  7.46792406E-10
  5848.44922  2.80377617E-06  7.42831741E-10
  5856.54346  2.79602523E-06  7.38896277E-10
  5864.64941  2.78829475E-06  7.34983463E-10
