 Al Density=2.699
 Energy(eV), Delta, Beta
  1183.0874  0.000334611308  1.68800398E-05
  1195.2937  0.000326938258  1.62407305E-05
  1207.62598  0.000319393177  1.56256556E-05
  1220.08545  0.000311975513  1.50338556E-05
  1232.67346  0.000304697227  1.44647038E-05
  1245.39136  0.000297515828  1.39194563E-05
  1258.2406  0.000290456461  1.33962249E-05
  1271.22229  0.000283522502  1.28939582E-05
  1284.33789  0.000276657083  1.24134085E-05
  1297.58887  0.00026990645  1.19508413E-05
  1310.97656  0.000263251684  1.15054509E-05
  1324.50232  0.000256645959  1.10766823E-05
  1338.1676  0.000250135083  1.066389E-05
  1351.974  0.000243668444  1.0266458E-05
  1365.92273  0.00023722295  9.88386182E-06
  1380.0155  0.000230846941  9.5155392E-06
  1394.25366  0.000224424744  9.16097542E-06
  1408.63867  0.00021798088  8.81965389E-06
  1423.17188  0.000211566206  8.49106709E-06
  1437.85535  0.000204895856  8.17462842E-06
  1452.69019  0.000198116584  7.8691437E-06
  1467.6781  0.000191187835  7.5741159E-06
  1482.82056  0.000183541648  7.28770192E-06
  1498.11938  0.000175362657  7.00825512E-06
  1513.57605  0.000166137019  6.73255045E-06
  1529.19202  0.00015295342  6.46661965E-06
  1544.96936  0.000121374476  6.21087656E-06
  1560.90918  4.7743677E-05  7.09404048E-05
  1577.01367  0.000131862311  6.85331761E-05
  1593.2843  0.000148445703  6.62075327E-05
  1609.72278  0.000153299916  6.39610153E-05
  1626.33081  0.000156492271  6.17908954E-05
  1643.11035  0.000158195893  5.9694521E-05
  1660.06274  0.000158602212  5.766912E-05
  1677.19019  0.000158596333  5.57124367E-05
  1694.49438  0.000158105002  5.38221866E-05
  1711.97705  0.000157214017  5.19960158E-05
  1729.64014  0.000156140188  5.0221588E-05
  1747.48547  0.000154823298  4.84799712E-05
  1765.51489  0.000153316098  4.67899481E-05
  1783.73022  0.000151705273  4.51539308E-05
  1802.13367  0.000149938918  4.3567492E-05
  1820.72681  0.000148095991  4.2036736E-05
  1839.51184  0.000146202234  4.05597129E-05
  1858.49072  0.00014421143  3.91346439E-05
  1877.66541  0.000142199031  3.77595788E-05
  1897.03796  0.000140157877  3.64327352E-05
  1916.61035  0.000138073156  3.51527342E-05
  1936.38477  0.000135986062  3.39177604E-05
  1956.36316  0.000133884343  3.27261951E-05
  1976.54761  0.000131770226  3.15764482E-05
  1996.94019  0.000129666689  3.04695295E-05
  2017.54346  0.000127565683  2.9411236E-05
  2038.35913  0.000125479331  2.83720146E-05
  2059.3894  0.000123411752  2.7359245E-05
  2080.63696  0.000121329947  2.63787024E-05
  2102.10376  0.000119265103  2.54319766E-05
  2123.79175  0.000117218136  2.45179508E-05
  2145.70361  0.000115177871  2.36351625E-05
  2167.84155  0.00011316083  2.27827913E-05
  2190.20801  0.000111162692  2.19591348E-05
  2212.80518  0.000109180495  2.11641873E-05
  2235.63525  0.00010722375  2.03972395E-05
  2258.70117  0.000105286606  1.96565124E-05
  2282.00488  0.000103371276  1.89415932E-05
  2305.54907  0.000101482707  1.82520162E-05
  2329.33643  9.961451E-05  1.75862679E-05
  2353.3689  9.77719756E-05  1.69437808E-05
  2377.64941  9.59567915E-05  1.63239856E-05
  2402.18066  9.41626058E-05  1.57258473E-05
  2426.9646  9.23966145E-05  1.5149144E-05
  2452.00439  9.06570203E-05  1.45929716E-05
  2477.30249  8.89409057E-05  1.40557813E-05
  2502.86182  8.72527526E-05  1.3537935E-05
  2528.68457  8.55898907E-05  1.30386816E-05
  2554.77393  8.39519271E-05  1.2557115E-05
  2581.13257  8.23415539E-05  1.20929471E-05
  2607.76294  8.0755919E-05  1.16453502E-05
  2634.66821  7.91964339E-05  1.12137086E-05
  2661.85083  7.76640736E-05  1.07976839E-05
  2689.31421  7.6155382E-05  1.03966422E-05
  2717.06055  7.46729274E-05  1.00099905E-05
  2745.09351  7.32162225E-05  9.63720959E-06
  2773.41577  7.17830699E-05  9.27787551E-06
  2802.03003  7.03758487E-05  8.93171364E-06
  2830.93945  6.89932422E-05  8.5981419E-06
  2860.14722  6.76341006E-05  8.27656731E-06
  2889.65625  6.62999228E-05  7.96678887E-06
  2919.46997  6.49891954E-05  7.66825633E-06
  2949.59106  6.3701882E-05  7.38058134E-06
  2980.02295  6.24385139E-05  7.10351424E-06
  3010.7688  6.11973301E-05  6.83659891E-06
  3041.83203  5.99792256E-05  6.57944929E-06
  3073.21558  5.8784095E-05  6.33176569E-06
  3104.9231  5.76100429E-05  6.09308154E-06
  3136.95752  5.64583715E-05  5.86327178E-06
  3169.323  5.53283353E-05  5.64196125E-06
  3202.02197  5.42189155E-05  5.4287525E-06
  3235.05811  5.31308942E-05  5.22348546E-06
  3268.4353  5.20634785E-05  5.02580724E-06
  3302.15698  5.10160644E-05  4.83537406E-06
  3336.22656  4.99889247E-05  4.65204448E-06
  3370.64746  4.89811173E-05  4.47552793E-06
  3405.42358  4.79926493E-05  4.30558794E-06
  3440.55835  4.70234554E-05  4.14201804E-06
  3476.05591  4.60725714E-05  3.98448265E-06
  3511.91968  4.51402811E-05  3.8328194E-06
  3548.15332  4.42262099E-05  3.68682072E-06
  3584.76074  4.33296991E-05  3.54627036E-06
  3621.74609  4.24509162E-05  3.41101145E-06
  3659.11279  4.15893155E-05  3.28081364E-06
  3696.86499  4.07444386E-05  3.15546504E-06
  3735.00684  3.99163473E-05  3.03484876E-06
  3773.54224  3.91045141E-05  2.91875881E-06
  3812.47534  3.83085753E-05  2.80703716E-06
  3851.80981  3.75284944E-05  2.69954489E-06
  3891.55005  3.67638277E-05  2.59606168E-06
  3931.70068  3.60143567E-05  2.4964977E-06
  3972.26538  3.52798597E-05  2.40072268E-06
  4013.24902  3.45598564E-05  2.30849787E-06
  4054.65503  3.38543432E-05  2.21978667E-06
  4096.48828  3.3162949E-05  2.13444673E-06
  4138.75293  3.24852845E-05  2.05231186E-06
  4181.45361  3.1821266E-05  1.97330746E-06
  4224.59521  3.11704971E-05  1.89730258E-06
  4268.18213  3.05328213E-05  1.82418069E-06
  4312.21826  2.99080766E-05  1.75384957E-06
  4356.70898  2.92958703E-05  1.68616828E-06
  4401.65869  2.86959512E-05  1.6210671E-06
  4447.07178  2.81081575E-05  1.55846146E-06
  4492.9541  2.75322654E-05  1.49822404E-06
  4539.30957  2.69680531E-05  1.44028104E-06
  4586.14307  2.6415275E-05  1.38454288E-06
  4633.45947  2.58736E-05  1.33094659E-06
  4681.26465  2.53429644E-05  1.27940666E-06
  4729.56299  2.48231299E-05  1.2298317E-06
  4778.35986  2.43138675E-05  1.18213995E-06
  4827.65967  2.38149805E-05  1.13628528E-06
  4877.46826  2.33261544E-05  1.09219923E-06
  4927.79053  2.28473618E-05  1.04978767E-06
  4978.63232  2.23783754E-05  1.00900559E-06
  5029.99902  2.19188187E-05  9.69788061E-07
  5036.96143  2.1857617E-05  9.6462179E-07
  5043.93262  2.17965917E-05  9.59483373E-07
  5050.91406  2.17357319E-05  9.54370535E-07
  5057.90479  2.16750468E-05  9.49285038E-07
  5064.90527  2.16145309E-05  9.44225405E-07
  5071.91553  2.15541822E-05  9.39190897E-07
  5078.93506  2.14940046E-05  9.34185266E-07
  5085.96436  2.14339943E-05  9.29206067E-07
  5093.00342  2.13741532E-05  9.24253527E-07
  5100.05273  2.13144758E-05  9.19325657E-07
  5107.11133  2.12549658E-05  9.14425812E-07
  5114.17969  2.1195623E-05  9.09552114E-07
  5121.25781  2.11364459E-05  9.04702688E-07
  5128.3457  2.1077436E-05  8.99880717E-07
  5135.44385  2.10185844E-05  8.95084384E-07
  5142.55176  2.09598875E-05  8.9030749E-07
  5149.66895  2.09013579E-05  8.85554414E-07
  5156.79688  2.08429828E-05  8.8082794E-07
  5163.93359  2.07847825E-05  8.7612699E-07
  5171.08105  2.07267349E-05  8.71449288E-07
  5178.23828  2.0668851E-05  8.66798132E-07
  5185.40479  2.06111326E-05  8.62172044E-07
  5192.58154  2.05535744E-05  8.57570569E-07
  5199.76807  2.0496178E-05  8.52993708E-07
