 Be Density=1.848
 Energy(eV), Delta, Beta
  233.713089  0.00656818086  0.00261716056
  236.12439  0.0064150109  0.00251943758
  238.560562  0.00628750026  0.00242352835
  241.021866  0.00617127819  0.00234148093
  243.508591  0.00604611263  0.00226728898
  246.020935  0.00590075366  0.00219018082
  248.559204  0.00577313453  0.00213995692
  251.123688  0.00574530382  0.00208361959
  253.71463  0.00563217932  0.00200900366
  256.332306  0.00551237073  0.00193498621
  258.976959  0.00541341817  0.0018637079
  261.648895  0.00531435851  0.00179504417
  264.348419  0.00521611329  0.00172890583
  267.075806  0.00511830905  0.00166520767
  269.831299  0.00502163777  0.00160385622
  272.615265  0.00492628384  0.0015447645
  275.427917  0.00483184867  0.00148784579
  278.269623  0.00473886309  0.00143302733
  281.140625  0.00464725634  0.00138023158
  284.041229  0.00455684727  0.00132938195
  286.971802  0.00446794135  0.00128040591
  289.932587  0.00438039983  0.00123323384
  292.92392  0.0042942008  0.00118779496
  295.946106  0.00420949655  0.00114402978
  298.999481  0.00412612362  0.00110188266
  302.084381  0.00404413138  0.00106128375
  305.20108  0.00396359246  0.00102217938
  308.349915  0.00388431991  0.000984524842
  311.531311  0.00380643923  0.000948251807
  314.745453  0.00372994668  0.000913312309
  317.992798  0.00365469162  0.000880085514
  321.273651  0.00358094927  0.000848084514
  324.588348  0.00350870751  0.000817242893
  327.937225  0.00343783526  0.000787530094
  331.320679  0.00336834602  0.00075889728
  334.739014  0.00330017926  0.000731302192
  338.192627  0.00323331892  0.000704711536
  341.681885  0.00316776847  0.000679087825
  345.207153  0.00310346414  0.000654393691
  348.768768  0.0030404164  0.000630599272
  352.367126  0.00297861313  0.000607670809
  356.002594  0.00291799917  0.000585575821
  359.675629  0.00285859127  0.000564283342
  363.386505  0.00280036102  0.000543764269
  367.135712  0.00274328119  0.000523992814
  370.923553  0.00268734177  0.000504940283
  374.750519  0.0026325027  0.000486579112
  378.616943  0.00257891905  0.000468886283
  382.523254  0.00252648047  0.000451836997
  386.46991  0.00247515715  0.000435407332
  390.457214  0.00242484594  0.000419265241
  394.485718  0.00237552845  0.000403549057
  398.555756  0.00232708384  0.000388422312
  402.667786  0.00227951235  0.000373698043
  406.822235  0.00223280536  0.000359378551
  411.019592  0.00218692073  0.000345607841
  415.260193  0.00214191549  0.000332365191
  419.544586  0.00209774566  0.000319629704
  423.873169  0.00205438468  0.000307381502
  428.246399  0.00201188028  0.000295602891
  432.664795  0.00197020499  0.00028427635
  437.128754  0.00192934962  0.000273383688
  441.638733  0.0018893159  0.000262908317
  446.195312  0.00185006903  0.000252834026
  450.798859  0.0018116131  0.000243146016
  455.44989  0.00177393772  0.000233829167
  460.148926  0.0017370123  0.000224869233
  464.896423  0.00170084171  0.000216252665
  469.692932  0.00166540721  0.000207966339
  474.53891  0.00163069135  0.000199997376
  479.434875  0.00159669016  0.000192333886
  484.381378  0.00156338466  0.000184964243
  489.378937  0.00153076311  0.000177876587
  494.42804  0.00149881607  0.000171060456
  499.529236  0.00146752456  0.000164505982
  504.683014  0.00143688079  0.000158202471
